Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-05-22,289.0,294.0,284.0,284.0,286.05,13031.0,37.63
2014-05-23,285.0,285.0,269.2,276.4,279.35,43614.0,119.92
2014-05-26,288.65,288.65,261.0,266.95,268.0,89562.0,245.5
2014-05-27,268.0,281.0,265.15,281.0,277.45,39337.0,107.9
2014-05-28,284.4,295.85,278.0,295.85,293.9,39496.0,114.71
2014-05-29,298.0,300.0,294.45,300.0,298.15,19910.0,59.23
2014-05-30,294.5,318.8,294.5,307.0,307.3,49447.0,152.89
2014-06-02,310.0,312.0,300.25,300.9,301.25,12573.0,38.42
2014-06-03,307.0,307.0,296.05,304.0,300.0,11796.0,35.63
2014-06-04,301.2,310.0,300.05,304.1,306.7,8901.0,27.24
2014-06-05,305.5,310.5,305.0,310.0,309.75,13375.0,41.24
2014-06-06,311.8,315.95,310.0,315.4,313.9,24111.0,75.66
2014-06-09,308.0,326.0,308.0,324.9,323.2,60380.0,192.23
2014-06-10,323.2,329.0,318.1,320.05,320.35,13410.0,43.44
2014-06-11,319.1,330.8,316.75,324.5,327.15,23135.0,75.62
2014-06-12,322.15,332.95,317.6,325.0,325.05,24580.0,79.59
2014-06-13,325.05,327.5,319.95,327.0,325.1,22517.0,73.12
2014-06-16,329.0,329.0,322.1,325.0,325.15,10164.0,33.01
2014-06-17,322.05,338.7,322.0,330.0,329.9,903424.0,2923.61
2014-06-18,335.0,341.2,327.0,330.0,330.4,1058421.0,3535.94
2014-06-19,334.25,356.0,334.2,356.0,352.25,481732.0,1630.68
2014-06-20,353.55,360.0,345.0,350.0,348.8,41277.0,145.07
2014-06-23,345.0,349.95,337.0,339.0,339.9,68068.0,231.56
2014-06-24,338.0,347.0,336.5,341.0,340.7,83305.0,284.54
2014-06-25,346.95,352.0,340.05,346.0,348.1,23167.0,79.75
2014-06-26,350.0,352.0,343.65,345.5,346.25,391326.0,1368.97
2014-06-27,349.8,359.1,344.25,353.5,355.8,58178.0,204.73
2014-06-30,355.0,360.95,345.0,360.0,353.15,246236.0,881.5
2014-07-01,356.0,369.0,351.2,358.2,359.55,85937.0,308.24
2014-07-02,360.1,363.95,348.15,358.9,354.85,27183.0,96.92
2014-07-03,356.05,359.9,350.05,354.0,352.65,5837.0,20.64
2014-07-04,356.05,358.0,350.1,351.0,351.25,10532.0,37.19
2014-07-07,357.0,358.0,346.5,346.5,347.9,12450.0,43.82
2014-07-08,346.0,353.0,328.0,337.6,333.9,41842.0,142.53
2014-07-09,330.25,343.0,325.0,330.05,330.05,7723.0,25.52
2014-07-10,328.3,336.0,325.0,333.0,333.95,11174.0,36.87
2014-07-11,326.5,339.0,325.0,331.9,329.35,17002.0,56.88
2014-07-14,333.95,333.95,325.0,325.0,325.7,3109.0,10.18
2014-07-15,322.5,339.0,322.5,336.2,336.25,8330.0,27.61
2014-07-16,331.5,346.5,331.5,340.0,340.55,19217.0,65.22
2014-07-17,337.1,347.65,326.5,336.5,335.75,49050.0,165.42
2014-07-18,351.8,364.8,344.0,353.0,355.55,90833.0,321.32
2014-07-21,362.0,362.0,351.0,356.5,355.3,82286.0,291.99
2014-07-22,358.0,371.0,353.05,363.5,361.85,241946.0,866.86
2014-07-23,357.0,366.0,353.05,354.5,354.4,12182.0,43.55
2014-07-24,354.45,365.85,354.4,361.0,360.75,110644.0,397.15
2014-07-25,363.55,373.0,360.0,370.0,368.5,58658.0,214.47
2014-07-28,370.0,378.9,370.0,372.0,371.35,35284.0,131.74
2014-07-30,371.5,382.0,365.25,380.05,379.2,33252.0,124.81
2014-07-31,384.0,385.0,376.0,383.5,382.65,295921.0,1135.66
2014-08-01,382.0,410.0,375.25,390.95,393.15,541897.0,2115.22
2014-08-04,367.0,403.0,367.0,390.0,392.15,35749.0,141.38
2014-08-05,390.15,397.75,381.35,396.0,391.7,29740.0,116.05
