Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-10-27,190.0,208.8,188.35,190.2,193.15,24480607.0,48795.65
2010-10-28,195.0,205.5,191.0,200.0,199.85,4969930.0,9962.52
2010-10-29,200.0,205.7,195.1,196.75,199.35,2677924.0,5373.17
2010-11-01,199.85,232.4,198.0,214.65,216.0,4316610.0,9461.12
2010-11-02,216.0,217.95,202.5,203.1,203.75,1404204.0,2925.15
2010-11-03,205.9,208.4,204.5,206.5,205.2,809774.0,1665.62
2010-11-04,206.5,215.0,202.1,205.0,205.95,667512.0,1389.2
2010-11-05,207.7,207.9,205.0,205.9,205.85,43468.0,89.65
2010-11-08,207.0,210.0,198.55,201.6,202.5,309049.0,633.03
2010-11-09,202.05,205.0,200.05,201.0,200.7,120982.0,245.26
2010-11-10,202.0,204.5,200.1,201.6,201.05,426148.0,865.2
2010-11-11,201.9,201.9,192.0,196.0,194.7,126820.0,250.78
2010-11-12,195.75,200.9,185.0,196.0,194.85,174781.0,344.29
2010-11-15,198.8,198.8,191.1,197.1,197.1,114163.0,224.1
2010-11-16,197.5,198.0,186.0,186.95,187.85,143369.0,272.82
2010-11-18,190.8,190.8,172.55,185.5,184.15,141192.0,254.41
2010-11-19,191.9,191.9,175.2,175.2,180.05,461578.0,838.89
2010-11-22,180.05,180.9,173.0,173.05,174.45,748700.0,1310.57
2010-11-23,175.0,182.8,160.55,163.0,165.75,113730.0,196.94
2010-11-24,175.0,175.0,158.4,160.2,160.45,94414.0,154.76
2010-11-25,158.0,168.9,154.5,160.0,162.95,554521.0,912.88
2010-11-26,156.4,164.5,148.05,160.0,160.15,248685.0,396.42
2010-11-29,156.8,166.8,156.8,162.8,162.4,386322.0,627.21
2010-11-30,166.0,175.35,160.2,172.0,170.85,402378.0,677.9
2010-12-01,174.7,177.0,169.0,173.2,174.1,281463.0,486.47
2010-12-02,176.0,190.35,175.0,186.85,186.75,332472.0,617.52
2010-12-03,188.85,196.0,185.5,193.0,191.1,607218.0,1157.35
2010-12-06,201.25,201.25,185.05,185.5,186.45,299973.0,562.35
2010-12-07,182.0,186.65,175.0,181.95,179.5,58659.0,105.93
2010-12-08,183.0,183.0,175.25,177.0,176.95,19852.0,35.59
2010-12-09,180.9,182.0,161.0,169.0,167.8,22738.0,38.15
2010-12-10,167.0,180.0,151.25,172.0,171.0,43403.0,73.35
2010-12-13,174.0,176.0,170.0,172.0,171.6,323147.0,562.06
2010-12-14,170.0,180.0,138.1,171.0,171.55,378689.0,646.74
2010-12-15,171.0,171.5,142.85,160.5,165.25,353421.0,589.66
2010-12-16,164.95,167.0,162.0,163.05,163.2,33840.0,55.44
2010-12-20,157.2,172.95,157.2,172.95,170.65,71988.0,120.83
2010-12-21,172.0,173.0,165.5,168.5,169.2,47512.0,80.81
2010-12-22,170.0,170.0,165.5,165.6,166.5,51913.0,86.62
2010-12-23,169.9,171.05,164.5,168.2,169.25,34774.0,58.37
2010-12-24,169.25,169.35,165.2,168.1,168.2,18859.0,31.53
2010-12-27,170.85,171.0,162.0,163.0,163.55,169853.0,288.01
2010-12-28,165.95,165.95,162.75,165.0,165.0,121832.0,200.68
2010-12-29,165.0,168.9,164.05,168.9,167.5,22198.0,37.01
2010-12-30,168.5,170.8,165.25,168.2,169.45,108850.0,181.99
2010-12-31,169.5,173.5,165.3,171.0,172.0,171203.0,290.59
2011-01-03,173.0,173.0,165.0,166.15,166.55,36757.0,61.91
2011-01-04,166.05,170.0,160.0,160.3,160.95,59174.0,97.32
2011-01-05,161.4,161.4,156.25,159.9,158.7,51395.0,81.51
2011-01-06,158.7,161.25,157.2,159.0,158.75,115820.0,184.78
2011-01-07,157.15,159.6,150.0,150.9,153.3,23046.0,35.82
2011-01-10,153.9,153.9,131.4,147.5,147.7,47234.0,70.43
2011-01-11,147.8,149.8,140.2,144.0,143.15,29488.0,42.59
2011-01-12,143.15,148.9,141.0,142.8,144.0,47631.0,68.55
2011-01-13,143.0,145.0,140.2,141.0,141.4,370654.0,529.93
2011-01-14,148.8,148.8,140.2,141.0,141.25,33263.0,47.36
2011-01-17,140.2,144.0,135.0,135.6,135.35,20990.0,28.95
2011-01-18,136.0,138.95,136.0,137.0,136.35,5050.0,6.92
2011-01-19,138.4,140.4,136.6,139.95,139.3,1625481.0,2259.4
2011-01-20,140.0,146.45,136.55,144.0,143.95,81687.0,117.79
2011-01-21,140.5,147.35,140.5,145.5,145.35,38260.0,55.58
2011-01-24,142.6,164.0,142.6,159.0,157.95,158302.0,245.4
2011-01-25,157.95,157.95,151.1,155.0,155.0,108939.0,168.97
2011-01-27,155.0,161.65,150.2,152.05,153.6,115111.0,179.77
2011-01-28,159.0,159.0,148.0,155.9,155.25,86371.0,131.5
2011-01-31,150.3,155.0,142.5,150.6,150.35,72014.0,108.84
2011-02-01,148.3,152.4,142.1,144.2,145.95,37871.0,55.51
2011-02-02,145.6,147.35,138.2,139.05,139.8,13608.0,19.29
2011-02-03,138.2,140.0,134.0,135.05,136.3,30604.0,42.01
2011-02-04,135.15,140.0,128.0,130.0,130.5,29643.0,39.4
2011-02-07,127.3,130.5,125.05,125.4,126.8,158796.0,201.71
