Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-03-13,73.0,73.5,70.65,73.5,72.7,54059.0,38.96
2014-03-14,73.8,73.8,70.1,70.85,70.65,63437.0,44.99
2014-03-18,72.9,75.4,71.55,75.3,74.9,86647.0,64.08
2014-03-19,74.95,75.95,70.0,74.95,74.85,92434.0,68.78
2014-03-20,74.5,74.7,73.2,73.8,73.9,333372.0,246.67
2014-03-21,73.6,77.0,72.9,76.95,75.5,1347491.0,1000.68
2014-03-22,79.0,79.0,75.5,75.5,76.2,15799.0,12.19
2014-03-24,76.85,77.0,74.45,75.0,75.15,41322.0,31.31
2014-03-25,75.5,76.65,74.25,75.75,76.2,93392.0,71.0
2014-03-26,76.2,76.85,75.25,76.0,76.5,147307.0,112.45
2014-03-27,76.95,77.0,75.1,76.95,76.6,91801.0,70.17
2014-03-28,77.85,78.0,75.5,77.15,76.8,51794.0,39.6
2014-03-31,77.95,80.0,76.4,79.4,78.15,87283.0,67.87
2014-04-01,79.0,79.7,77.2,78.0,78.1,46275.0,36.12
2014-04-02,79.8,79.8,77.3,78.0,78.0,134871.0,105.67
2014-04-03,75.4,77.0,74.0,77.0,76.15,84771.0,64.1
2014-04-04,76.0,76.8,75.0,76.0,76.15,66208.0,50.28
2014-04-07,75.95,76.5,74.9,76.0,76.0,65425.0,49.51
2014-04-09,78.0,80.3,73.75,80.0,80.05,196745.0,154.27
2014-04-10,77.8,80.8,77.8,79.1,80.0,76482.0,61.22
2014-04-11,80.8,80.9,77.5,78.8,78.7,98047.0,76.59
2014-04-15,78.0,79.8,77.1,78.0,78.0,15614.0,12.19
2014-04-16,77.9,77.9,76.5,77.0,77.05,18908.0,14.56
2014-04-17,76.8,79.25,76.5,79.25,79.2,44560.0,34.83
2014-04-21,78.0,79.5,77.5,78.3,78.0,128245.0,101.16
2014-04-22,77.5,84.6,77.0,83.4,83.35,316920.0,259.72
2014-04-23,83.0,83.95,80.5,81.25,80.95,43605.0,35.7
2014-04-25,80.6,82.75,78.25,79.5,79.8,87381.0,69.58
2014-04-28,80.0,80.45,78.5,80.0,80.2,27362.0,21.84
2014-04-29,81.05,81.9,78.3,80.95,80.5,87331.0,70.65
2014-04-30,81.2,81.9,77.75,80.5,79.95,47651.0,38.5
2014-05-02,79.6,80.35,78.7,79.0,79.0,13890.0,10.99
2014-05-05,78.0,80.5,76.8,79.95,79.1,55748.0,43.97
2014-05-06,79.7,81.85,79.65,81.2,81.1,54114.0,43.7
2014-05-07,81.5,84.1,80.7,83.75,83.85,134441.0,111.98
2014-05-08,82.25,87.95,82.0,87.95,86.85,124685.0,106.91
2014-05-09,87.0,92.25,87.0,92.0,91.45,242756.0,217.85
2014-05-12,91.55,97.0,90.1,93.2,93.8,319669.0,301.07
2014-05-13,95.0,98.25,90.75,97.5,97.85,260150.0,249.67
2014-05-14,99.05,100.05,93.7,94.9,94.4,117713.0,113.66
2014-05-15,94.4,95.8,89.15,89.35,90.0,45209.0,41.42
2014-05-16,92.0,94.95,88.55,89.15,90.2,273611.0,250.2
2014-05-19,92.0,101.45,91.5,101.45,99.5,424867.0,410.81
2014-05-20,104.7,108.0,100.0,103.0,102.85,1907701.0,1932.57
2014-05-21,103.9,105.6,101.85,101.85,102.0,148114.0,152.52
2014-05-22,103.75,114.0,102.3,113.5,112.35,347353.0,379.27
2014-05-23,115.3,121.1,115.3,117.75,119.85,1652330.0,1976.48
2014-05-26,120.95,120.95,113.0,114.5,114.55,486083.0,569.65
2014-05-27,113.0,113.7,107.6,111.8,110.35,113758.0,124.79
